GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
distributed-tools,com.crossoverjie.distributed.limit,RedisLimit,5,111,0,6,2,31,0,9,0,6
distributed-tools,com.crossoverjie.distributed.limit,RedisLimit.Builder,0,26,0,0,0,9,0,3,0,3
distributed-tools,com.crossoverjie.distributed.constant,RedisToolsConstant,3,0,0,0,1,0,1,0,1,0
distributed-tools,com.crossoverjie.distributed.intercept,SpringMVCIntercept,50,0,8,0,15,0,7,0,3,0
distributed-tools,com.crossoverjie.distributed.intercept,WebIntercept.CustomInterceptor,48,0,8,0,14,0,6,0,2,0
distributed-tools,com.crossoverjie.distributed.intercept,CommonAspect,6,25,1,3,2,8,2,4,1,3
distributed-tools,com.crossoverjie.distributed.intercept,WebIntercept,23,0,0,0,5,0,3,0,3,0
distributed-tools,com.crossoverjie.distributed.lock,RedisLock.Builder,0,34,0,0,0,12,0,4,0,4
distributed-tools,com.crossoverjie.distributed.lock,RedisLock,33,352,2,24,12,73,2,20,0,9
distributed-tools,com.crossoverjie.distributed.util,ScriptUtil,8,35,0,2,3,8,1,2,1,1
